Epochs,Throughput(img/s)
0,1102
1,1098
2,1083
3,1100
4,1095
5,2204
6,2196
7,2166
8,2200
9,2190
10,4408
11,4392
12,4332
13,4400
14,4380
15,8816
16,8784
17,8664
18,8800
19,8760
20,17632
21,17568
22,17328
23,17600
24,17520
25,35264
26,35136
27,34656
28,33962
29,34017
