Epochs,Throughput(img/s)
0,1051
1,1042
2,1031
3,1063
4,1055
5,2102
6,2084
7,2062
8,2126
9,2110
10,4204
11,4168
12,4124
13,4252
14,4220
15,8408
16,8336
17,8248
18,8504
19,8440
20,16816
21,16672
22,16496
23,17008
24,16880
25,33632
26,33344
27,35184
28,32042
29,31872
